track_title,id,artist,hotness,genre,genreid,year
Dear Mama / Old School,1,2Pac,100,Hip hop,4,1997
Get It Together,48,702,53,R&B,7,1997
Short Dick Man,76,20 Fingers feat. Gillette,25,Pop,5,1995
Dear Mama / Old School,100,2Pac,1,Hip hop,4,1995
Sukiyaki,48,4 P.M.,53,R&B,7,1995
Tootsee Roll,63,69 Boyz,38,Hip hop,4,1995
Invisible Man,45,98 Degrees,56,Pop,5,1997
The One I Gave My Heart To,78,Aaliyah,23,R&B,7,1997
Freak Like Me,13,Adina Howard,88,R&B,7,1995
‘Til You Do Me Right,88,After 7,13,R&B,7,1995
I Can Love You Like That,15,All-4-One,86,R&B,7,1995
All Cried Out,43,Allure feat. 112,58,Pop,5,1997
No More “I Love You’s”,78,Annie Lennox,23,Pop,5,1995
Barbie Girl,94,Aqua,7,EDM,3,1997
Sugar Hill,84,Az,17,Hip hop,4,1995
Last Night,71,Az Yet,30,R&B,7,1997
Hard To Say I’m Sorry,19,Az Yet feat. Peter Cetera,82,Rock,8,1997
Every Time I Close My Eyes,26,Babyface,75,R&B,7,1997
Quit Playing Games (With My Heart),11,Backstreet Boys,90,Pop,5,1997
I Finally Found Someone,53,Barbra Streisand and Bryan Adams,48,Pop rock,6,1997
Good,85,Better Than Ezra,16,Alternative,1,1995
I Like It,97,Blackout Allstars,4,Pop,5,1997
Before I Let You Go,46,BLACKstreet,55,R&B,7,1995
No Diggity,23,BLACKstreet feat. Dr. Dre,78,Hip hop,4,1997
I Believe,27,Blessid Union Of Souls,74,Alternative,1,1995
Run-Around,14,Blues Traveler,87,Blues,9,1995
Always,17,Bon Jovi,84,Rock,8,1995
This Ain’t A Love Song,70,Bon Jovi,31,Pop rock,6,1995
1st Of Tha Month,89,Bone Thugs-N-Harmony,12,Hip hop,4,1995
Look Into My Eyes,47,Bone Thugs-N-Harmony,54,Hip hop,4,1997
4 Seasons Of Loneliness,30,Boyz II Men,71,R&B,7,1997
I’ll Make Love To You,50,Boyz II Men,51,R&B,7,1995
On Bended Knee,5,Boyz II Men,96,R&B,7,1995
Thank You,94,Boyz II Men,7,R&B ,7,1995
Water Runs Dry,12,Boyz II Men,89,R&B,7,1995
Baby,37,Brandy,64,R&B,7,1995
Best Friend,98,Brandy,3,R&B,7,1995
Brokenhearted,77,Brandy,24,R&B,7,1995
I Wanna Be Down,49,Brandy,52,R&B,7,1995
You Should Be Mine (Don’t Waste Your Time),86,Brian McKnight feat. Mase,15,R&B,7,1997
My Baby Daddy,68,B-Rock and The Bizz,33,Hip hop,4,1997
If You Love Me,34,Brownstone,67,R&B,7,1995
Secret Garden,77,Bruce Springsteen,24,Rock,8,1997
Have You Ever Really Loved A Woman?,16,Bryan Adams,85,Rock,8,1995
All By Myself,49,Celine Dion,52,Pop,5,1997
It’s All Coming Back To Me Now,50,Celine Dion,51,Pop,5,1997
G.H.E.T.T.O.U.T.,31,Changing Faces,70,R&B,7,1997
Tubthumping,69,Chumbawamba,32,Alternative,1,1997
December,41,Collective Soul,60,Alternative,1,1995
C U When U Get There,66,Coolio,35,Hip hop,4,1997
Gangsta’s Paradise,1,Coolio,100,Hip hop,4,1995
The Rhythm Of The Night,54,Corona,47,EDM,3,1995
When You’re Gone / Free To Decide,95,Cranberries,6,Alternative,1,1997
100% Pure Love,82,Crystal Waters,19,EDM,3,1995
Brown Sugar,86,D’angelo,15,R&B,7,1995
Give It 2 You,97,Da Brat,4,Hip hop,4,1995
Roll To Me,55,Del Amitri,46,Pop rock,6,1995
You Gotta Be,20,Des’ree,81,Pop,5,1995
Shy Guy,43,Diana King,58,Reggae,10,1995
I Know,11,Dionne Farris,90,Pop rock,6,1995
Let Me Clear My Throat,96,DJ Kool,5,Hip hop,4,1997
I Love You Always Forever,64,Donna Lewis,37,Pop,5,1997
Keep Their Heads Ringin’,53,Dr. Dre,48,Hip hop,4,1995
In My Bed,27,Dru Hill,74,R&B,7,1997
Never Make A Promise,56,Dru Hill,45,R&B,7,1997
Barely Breathing,18,Duncan Sheik,83,Alternative,1,1997
Believe,59,Elton John,42,Rock,8,1995
Candle In The Wind 1997,1,Elton John,100,Rock,8,1997
Don’t Let Go (Love),7,En Vogue,94,R&B,7,1997
Change The World,67,Eric Clapton,34,Rock,8,1997
On & On,83,Erykah Badu,18,R&B,7,1997
You Used To Love Me,79,Faith Evans,22,R&B,7,1995
I Live My Life For You,91,Firehouse,10,Alternative,1,1995
I’ll Be,54,Foxy Brown feat. Jay-Z,47,Hip hop,4,1997
Da’ Dip,34,Freaknasty,67,Hip hop,4,1997
Ooh Aah… Just A Little Bit,41,Gina G,60,EDM,3,1997
Pony,62,Ginuwine,39,R&B,7,1997
Turn The Beat Around,87,Gloria Estefan,14,EDM,3,1995
Tell Me,65,Groove Theory,36,R&B,7,1995
