year,genre,value,year order,genre order
1990,Alternative,0,1,1
1990,Country,0,1,2
1990,Christian,0,1,3
1990,EDM,8,1,4
1990,Hiphop,8,1,5
1990,Pop,23,1,6
1990,Poprock,14,1,7
1990,RnB,24,1,8
1990,Reggae,0,1,9
1990,Rock,23,1,10
1991,Alternative,6,2,1
1991,Country,0,2,2
1991,Christian,0,2,3
1991,EDM,9,2,4
1991,Hiphop,9,2,5
1991,Pop,21,2,6
1991,Poprock,8,2,7
1991,RnB,21,2,8
1991,Reggae,2,2,9
1991,Rock,24,2,10
1992,Alternative,5,3,1
1992,Country,1,3,2
1992,Christian,3,3,3
1992,EDM,4,3,4
1992,Hiphop,14,3,5
1992,Pop,16,3,6
1992,Poprock,8,3,7
1992,RnB,32,3,8
1992,Reggae,0,3,9
1992,Rock,17,3,10
1993,Alternative,5,4,1
1993,Country,1,4,2
1993,Christian,0,4,3
1993,EDM,3,4,4
1993,Hiphop,19,4,5
1993,Pop,20,4,6
1993,Poprock,3,4,7
1993,RnB,30,4,8
1993,Reggae,4,4,9
1993,Rock,14,4,10
1994,Alternative,6,5,1
1994,Country,2,5,2
1994,Christian,0,5,3
1994,EDM,5,5,4
1994,Hiphop,20,5,5
1994,Pop,19,5,6
1994,Poprock,2,5,7
1994,RnB,30,5,8
1994,Reggae,0,5,9
1994,Rock,15,5,10
1995,Alternative,7,6,1
1995,Country,1,6,2
1995,Christian,0,6,3
1995,EDM,8,6,4
1995,Hiphop,15,6,5
1995,Pop,11,6,6
1995,Poprock,7,6,7
1995,RnB,38,6,8
1995,Reggae,2,6,9
1995,Rock,9,6,10
1996,Alternative,14,7,1
1996,Country,0,7,2
1996,Christian,0,7,3
1996,EDM,8,7,4
1996,Hiphop,18,7,5
1996,Pop,15,7,6
1996,Poprock,5,7,7
1996,RnB,29,7,8
1996,Reggae,1,7,9
1996,Rock,10,7,10
1997,Alternative,10,8,1
1997,Country,1,8,2
1997,Christian,0,8,3
1997,EDM,5,8,4
1997,Hiphop,21,8,5
1997,Pop,21,8,6
1997,Poprock,6,8,7
1997,RnB,29,8,8
1997,Reggae,0,8,9
1997,Rock,7,8,10
1998,Alternative,6,9,1
1998,Country,3,9,2
1998,Christian,0,9,3
1998,EDM,1,9,4
1998,Hiphop,27,9,5
1998,Pop,21,9,6
1998,Poprock,5,9,7
1998,RnB,35,9,8
1998,Reggae,0,9,9
1998,Rock,1,9,10
1999,Alternative,9,10,1
1999,Country,8,10,2
1999,Christian,0,10,3
1999,EDM,0,10,4
1999,Hiphop,17,10,5
1999,Pop,26,10,6
1999,Poprock,7,10,7
1999,RnB,29,10,8
1999,Reggae,0,10,9
1999,Rock,4,10,10
2000,Alternative,8,11,1
2000,Country,10,11,2
2000,Christian,1,11,3
2000,EDM,3,11,4
2000,Hiphop,10,11,5
2000,Pop,28,11,6
2000,Poprock,2,11,7
2000,RnB,32,11,8
2000,Reggae,0,11,9
2000,Rock,6,11,10
