track_title,id,artist,hotness,genre,genreid,year
King Of Wishful Thinking,70,Go West,31,Alternative,1,1990
When I’m Back On My Feet Again,88,Michael Bolton,13,Alternative,1,1990
Black Velvet,18,Alannah Myles,83,Blues,9,1990
Opposites Attract,14,Paula Abdul,87,EDM,3,1990
I Wanna Be Rich,22,Calloway,79,EDM,3,1990
The Power,26,Snap,75,EDM,3,1990
Two To Make It Right,30,Seduction,71,EDM,3,1990
Sending All My Love,31,Linear,70,EDM,3,1990
Blame It On The Rain,46,Milli Vanilli,55,EDM,3,1990
With Every Beat Of My Heart,48,Taylor Dayne,53,EDM,3,1990
Get Up! (Before The Night Is Over),73,Technotronic,28,EDM,3,1990
All Or Nothing,79,Milli Vanilli,22,EDM,3,1990
Everybody Everybody,81,Black Box,20,EDM,3,1990
We Can’t Go Wrong,87,The Cover Girls,14,EDM,3,1990
Tic-Tac-Toe,100,Kyper,1,EDM,3,1990
Poison,4,Bell Biv Devoe,97,Hip hop,4,1990
Do Me!,11,Bell Biv Devoe,90,Hip hop,4,1990
Pump Up The Jam,13,Technotronic,88,Hip hop,4,1990
Ice Ice Baby,45,Vanilla Ice,56,Hip hop,4,1990
U Can’t Touch This,55,M.C. Hammer,46,Hip hop,4,1990
The Humpty Dance,62,Digital Underground,39,Hip hop,4,1990
Oh Girl,84,Paul Young,17,Hip hop,4,1990
Just A Friend,94,Biz Markie,7,Hip hop,4,1990
Mentirosa,99,Mellow Man Ace,2,Hip hop,4,1990
Nothing Compares 2 U,3,Sinead O’Connor,98,Pop,5,1990
Vogue,5,Madonna,96,Pop,5,1990
How Am I Supposed To Live Without You,12,Michael Bolton,89,Pop,5,1990
Release Me,19,Wilson Phillips,82,Pop,5,1990
Love Will Lead You Back,28,Taylor Dayne,73,Pop,5,1990
Step By Step,33,New Kids On The Block,68,Pop,5,1990
I’ll Be Your Everything,39,Tommy Page,62,Pop,5,1990
Everything,41,Jody Watley,60,Pop,5,1990
Praying For Time,51,George Michael,50,Pop,5,1990
Just Between You And Me,57,Lou Gramm,44,Pop,5,1990
Enjoy The Silence,66,Depeche Mode,35,Pop,5,1990
Girls Nite Out,69,Tyler Collins,32,Pop,5,1990
Here We Are,74,Gloria Estefan,27,Pop,5,1990
Romeo,80,Dino,21,Pop,5,1990
C’mon And Get My Love,85,D-Mob With Cathy Dennis,16,Pop,5,1990
(It’s Just) The Way That You Love Me,86,Paula Abdul,15,Pop,5,1990
Make You Sweat,89,Keith Sweat,12,Pop,5,1990
This One’s For The Children,90,New Kids On The Block,11,Pop,5,1990
Jerk Out,93,The Time,8,Pop,5,1990
Whole Wide World,95,A’me Lorain,6,Pop,5,1990
Swing The Mood,97,Jive Bunny and The Master Mixers,4,Pop,5,1990
Thieves In The Temple,98,Prince,3,Pop,5,1990
Hold On,1,Wilson Phillips,100,Pop rock,6,1990
It Must Have Been Love,2,Roxette,99,Pop rock,6,1990
All I Wanna Do Is Make Love To You,16,Heart,85,Pop rock,6,1990
Don’t Know Much,20,Linda Ronstadt and Aaron Neville,81,Pop rock,6,1990
If Wishes Came True,25,Sweet Sensation,76,Pop rock,6,1990
Dangerous,34,Roxette,67,Pop rock,6,1990
We Didn’t Start The Fire,35,Billy Joel,66,Pop rock,6,1990
Roam,40,B-52’s,61,Pop rock,6,1990
Something Happened On The Way To Heaven,58,Phil Collins,43,Pop rock,6,1990
What Kind Of Man Would I Be?,71,Chicago,30,Pop rock,6,1990
Just Like Jesse James,77,Cher,24,Pop rock,6,1990
Love Shack,78,B-52s,23,Pop rock,6,1990
Vision Of Love,6,Mariah Carey,95,R&B,7,1990
Hold On,8,En Vogue,93,R&B,7,1990
Escapade,15,Janet Jackson,86,R&B,7,1990
Close To You,17,Maxi Priest,84,R&B,7,1990
All Around The World,21,Lisa Stansfield,80,R&B,7,1990
Rub You The Right Way,23,Johnny Gill,78,R&B,7,1990
She Ain’t Worth It,24,Glenn Medeiros feat. Bobby Brown,77,R&B,7,1990
